Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FD,OUT049,1846.02063737137
FD,OUT017,1514.2690311977
NC,OUT010,1977.8476129738374
FD,OUT017,2546.6565526296044
FD,OUT027,5169.949079475171
FD,OUT046,1949.8857931527295
FD,OUT018,589.9244641900361
FD,OUT027,2779.121521125111
FD,OUT045,1460.1070985932204
FD,OUT017,3052.861444266814
FD,OUT017,2009.5038360698045
FD,OUT045,1289.4465402678088
NC,OUT019,1897.9361047284212
FD,OUT049,2081.1090375041604
DR,OUT013,856.2547874808879
FD,OUT049,2564.460739760627
FD,OUT045,3332.9815378611265
DR,OUT018,2767.7872587405127
NC,OUT027,3215.631972417675
FD,OUT010,1110.9547029267562
FD,OUT013,2795.9299736654393
NC,OUT035,3990.310155654212
FD,OUT046,761.5059517071838
NC,OUT019,447.98616017796326
FD,OUT035,3022.6615175084767
FD,OUT010,1461.8366199930813
NC,OUT035,939.9190405717645
NC,OUT046,2515.2007665371893
DR,OUT046,3796.7704984608426
FD,OUT035,2067.484400352712
NC,OUT019,0.0
FD,OUT018,2901.9356033571316
NC,OUT018,415.1204930880833
FD,OUT027,5022.404906874824
FD,OUT017,2717.918983871728
FD,OUT027,4835.019125096368
FD,OUT027,2800.483172932485
FD,OUT010,0.0
NC,OUT017,3121.1246217933112
NC,OUT027,3124.077587160044
NC,OUT018,1995.5449063913175
FD,OUT010,3.136203700414171
NC,OUT017,2798.9033337197075
NC,OUT018,2098.6351115465
FD,OUT010,1563.643415025416
FD,OUT013,1820.739185501386
FD,OUT010,0.0
NC,OUT035,3093.795875997979
FD,OUT035,4047.6527845579976
FD,OUT046,1960.754369179624
DR,OUT046,881.670699091088
FD,OUT013,1730.9497974699057
FD,OUT017,3067.5717276669347
FD,OUT017,2143.0360206492815
FD,OUT027,4562.109339573465
FD,OUT049,3152.8142442978806
FD,OUT013,2922.824386292572
FD,OUT013,631.9765765980067
FD,OUT019,2274.1280398362233
FD,OUT045,1370.3877401999805
FD,OUT035,2522.2588042035713
FD,OUT017,3519.9772684008594
NC,OUT027,3714.2257699203374
